region,district,settlement,settlement_type,latitude,longitude,landscape,atlas_system,question_type,question_id,question,linguistic_unit_1,linguistic_unit_2,linguistic_unit_3,comment,source,year
Удмуртская Республика,г. Ижевск,Ижевск,город,56.8527,53.2115,городская агломерация,ДАРЯ,ДАРЯ: фонетика,D-FON-01,Произношение согласного /г/ в интервокальной позиции,[g] взрывной,[ɣ] фрикативный,,демонстрационная запись; заменить полевым материалом,демо-данные для интерфейса; заменить на полевые материалы,2026
Удмуртская Республика,г. Ижевск,Ижевск,город,56.8527,53.2115,городская агломерация,ДАРЯ,ДАРЯ: фонетика,D-FON-02,Тип безударного вокализма после твёрдых согласных,аканье,,,форма требует проверки по аудио/анкете,демо-данные для интерфейса; заменить на полевые материалы,2026
Удмуртская Республика,г. Ижевск,Ижевск,город,56.8527,53.2115,городская агломерация,ДАРЯ,ДАРЯ: морфология,D-MOR-01,Окончание 3 л. мн. ч. настоящего времени,вариативное окончание,,,вариант отмечен в речи старшего информанта,демо-данные для интерфейса; заменить на полевые материалы,2026
Удмуртская Республика,г. Ижевск,Ижевск,город,56.8527,53.2115,городская агломерация,ДАРЯ,ДАРЯ: синтаксис,D-SYN-01,Конструкция выражения обладания,у меня есть,,,возможна смешанная традиция из-за миграций,демо-данные для интерфейса; заменить на полевые материалы,2026
Удмуртская Республика,г. Ижевск,Ижевск,город,56.8527,53.2115,городская агломерация,ЛАРНГ,ЛАРНГ: лексика / природа,L-NAT-01,Название открытого места в лесу,поляна,,,демонстрационная запись; заменить полевым материалом,демо-данные для интерфейса; заменить на полевые материалы,2026
Удмуртская Республика,г. Ижевск,Ижевск,город,56.8527,53.2115,городская агломерация,ЛАРНГ,ЛАРНГ: лексика / природа,L-NAT-02,Название сильного дождя,проливень,,,форма требует проверки по аудио/анкете,демо-данные для интерфейса; заменить на полевые материалы,2026
Удмуртская Республика,г. Ижевск,Ижевск,город,56.8527,53.2115,городская агломерация,ЛАРНГ,ЛАРНГ: лексика / материальная культура,L-MAT-01,Название традиционного сельского дома,хата,,,вариант отмечен в речи старшего информанта,демо-данные для интерфейса; заменить на полевые материалы,2026
Удмуртская Республика,г. Ижевск,Ижевск,город,56.8527,53.2115,городская агломерация,ЛАРНГ,ЛАРНГ: лексика / животный мир,L-ZOO-01,Название мелкой рыбы,сорожка,пескарь,,возможна смешанная традиция из-за миграций,демо-данные для интерфейса; заменить на полевые материалы,2026
Удмуртская Республика,Сарапульский район,Сарапул,город,56.4616,53.8037,долина Камы,ДАРЯ,ДАРЯ: фонетика,D-FON-01,Произношение согласного /г/ в интервокальной позиции,[h] придыхательный,,,форма требует проверки по аудио/анкете,демо-данные для интерфейса; заменить на полевые материалы,2026
Удмуртская Республика,Сарапульский район,Сарапул,город,56.4616,53.8037,долина Камы,ДАРЯ,ДАРЯ: фонетика,D-FON-02,Тип безударного вокализма после твёрдых согласных,смешанный тип,,,вариант отмечен в речи старшего информанта,демо-данные для интерфейса; заменить на полевые материалы,2026
Удмуртская Республика,Сарапульский район,Сарапул,город,56.4616,53.8037,долина Камы,ДАРЯ,ДАРЯ: морфология,D-MOR-01,Окончание 3 л. мн. ч. настоящего времени,-ат/-ят,,,возможна смешанная традиция из-за миграций,демо-данные для интерфейса; заменить на полевые материалы,2026
Удмуртская Республика,Сарапульский район,Сарапул,город,56.4616,53.8037,долина Камы,ДАРЯ,ДАРЯ: синтаксис,D-SYN-01,Конструкция выражения обладания,у меня имеется,,,демонстрационная запись; заменить полевым материалом,демо-данные для интерфейса; заменить на полевые материалы,2026
Удмуртская Республика,Сарапульский район,Сарапул,город,56.4616,53.8037,долина Камы,ЛАРНГ,ЛАРНГ: лексика / природа,L-NAT-01,Название открытого места в лесу,ляда,,,форма требует проверки по аудио/анкете,демо-данные для интерфейса; заменить на полевые материалы,2026
Удмуртская Республика,Сарапульский район,Сарапул,город,56.4616,53.8037,долина Камы,ЛАРНГ,ЛАРНГ: лексика / природа,L-NAT-02,Название сильного дождя,косохлёст,,,вариант отмечен в речи старшего информанта,демо-данные для интерфейса; заменить на полевые материалы,2026
Удмуртская Республика,Сарапульский район,Сарапул,город,56.4616,53.8037,долина Камы,ЛАРНГ,ЛАРНГ: лексика / материальная культура,L-MAT-01,Название традиционного сельского дома,изба,дом,,возможна смешанная традиция из-за миграций,демо-данные для интерфейса; заменить на полевые материалы,2026
Удмуртская Республика,Сарапульский район,Сарапул,город,56.4616,53.8037,долина Камы,ЛАРНГ,ЛАРНГ: лексика / животный мир,L-ZOO-01,Название мелкой рыбы,мелочь,,,демонстрационная запись; заменить полевым материалом,демо-данные для интерфейса; заменить на полевые материалы,2026
Удмуртская Республика,Глазовский район,Глазов,город,58.1408,52.658,северная лесная зона,ДАРЯ,ДАРЯ: фонетика,D-FON-01,Произношение согласного /г/ в интервокальной позиции,[ɣ] фрикативный,,,вариант отмечен в речи старшего информанта,демо-данные для интерфейса; заменить на полевые материалы,2026
Удмуртская Республика,Глазовский район,Глазов,город,58.1408,52.658,северная лесная зона,ДАРЯ,ДАРЯ: фонетика,D-FON-02,Тип безударного вокализма после твёрдых согласных,аканье,,,возможна смешанная традиция из-за миграций,демо-данные для интерфейса; заменить на полевые материалы,2026
Удмуртская Республика,Глазовский район,Глазов,город,58.1408,52.658,северная лесная зона,ДАРЯ,ДАРЯ: морфология,D-MOR-01,Окончание 3 л. мн. ч. настоящего времени,-ут/-ют,,,демонстрационная запись; заменить полевым материалом,демо-данные для интерфейса; заменить на полевые материалы,2026
Удмуртская Республика,Глазовский район,Глазов,город,58.1408,52.658,северная лесная зона,ДАРЯ,ДАРЯ: синтаксис,D-SYN-01,Конструкция выражения обладания,у мене есть,,,форма требует проверки по аудио/анкете,демо-данные для интерфейса; заменить на полевые материалы,2026
Удмуртская Республика,Глазовский район,Глазов,город,58.1408,52.658,северная лесная зона,ЛАРНГ,ЛАРНГ: лексика / природа,L-NAT-01,Название открытого места в лесу,поляна,,,вариант отмечен в речи старшего информанта,демо-данные для интерфейса; заменить на полевые материалы,2026
Удмуртская Республика,Глазовский район,Глазов,город,58.1408,52.658,северная лесная зона,ЛАРНГ,ЛАРНГ: лексика / природа,L-NAT-02,Название сильного дождя,проливень,дождь стеной,,возможна смешанная традиция из-за миграций,демо-данные для интерфейса; заменить на полевые материалы,2026
Удмуртская Республика,Глазовский район,Глазов,город,58.1408,52.658,северная лесная зона,ЛАРНГ,ЛАРНГ: лексика / материальная культура,L-MAT-01,Название традиционного сельского дома,хата,,,демонстрационная запись; заменить полевым материалом,демо-данные для интерфейса; заменить на полевые материалы,2026
Удмуртская Республика,Глазовский район,Глазов,город,58.1408,52.658,северная лесная зона,ЛАРНГ,ЛАРНГ: лексика / животный мир,L-ZOO-01,Название мелкой рыбы,сорожка,,,форма требует проверки по аудио/анкете,демо-данные для интерфейса; заменить на полевые материалы,2026
Удмуртская Республика,Воткинский район,Воткинск,город,57.0486,53.9872,прудово-речная зона,ДАРЯ,ДАРЯ: фонетика,D-FON-01,Произношение согласного /г/ в интервокальной позиции,[g] взрывной,,,возможна смешанная традиция из-за миграций,демо-данные для интерфейса; заменить на полевые материалы,2026
Удмуртская Республика,Воткинский район,Воткинск,город,57.0486,53.9872,прудово-речная зона,ДАРЯ,ДАРЯ: фонетика,D-FON-02,Тип безударного вокализма после твёрдых согласных,смешанный тип,,,демонстрационная запись; заменить полевым материалом,демо-данные для интерфейса; заменить на полевые материалы,2026
Удмуртская Республика,Воткинский район,Воткинск,город,57.0486,53.9872,прудово-речная зона,ДАРЯ,ДАРЯ: морфология,D-MOR-01,Окончание 3 л. мн. ч. настоящего времени,вариативное окончание,,,форма требует проверки по аудио/анкете,демо-данные для интерфейса; заменить на полевые материалы,2026
Удмуртская Республика,Воткинский район,Воткинск,город,57.0486,53.9872,прудово-речная зона,ДАРЯ,ДАРЯ: синтаксис,D-SYN-01,Конструкция выражения обладания,у меня есть,,,вариант отмечен в речи старшего информанта,демо-данные для интерфейса; заменить на полевые материалы,2026
Удмуртская Республика,Воткинский район,Воткинск,город,57.0486,53.9872,прудово-речная зона,ЛАРНГ,ЛАРНГ: лексика / природа,L-NAT-01,Название открытого места в лесу,ляда,чистина,,возможна смешанная традиция из-за миграций,демо-данные для интерфейса; заменить на полевые материалы,2026
Удмуртская Республика,Воткинский район,Воткинск,город,57.0486,53.9872,прудово-речная зона,ЛАРНГ,ЛАРНГ: лексика / природа,L-NAT-02,Название сильного дождя,косохлёст,,,демонстрационная запись; заменить полевым материалом,демо-данные для интерфейса; заменить на полевые материалы,2026
Удмуртская Республика,Воткинский район,Воткинск,город,57.0486,53.9872,прудово-речная зона,ЛАРНГ,ЛАРНГ: лексика / материальная культура,L-MAT-01,Название традиционного сельского дома,изба,,,форма требует проверки по аудио/анкете,демо-данные для интерфейса; заменить на полевые материалы,2026
Удмуртская Республика,Воткинский район,Воткинск,город,57.0486,53.9872,прудово-речная зона,ЛАРНГ,ЛАРНГ: лексика / животный мир,L-ZOO-01,Название мелкой рыбы,мелочь,,,вариант отмечен в речи старшего информанта,демо-данные для интерфейса; заменить на полевые материалы,2026
Удмуртская Республика,Можгинский район,Можга,город,56.4427,52.2138,южная лесостепь,ДАРЯ,ДАРЯ: фонетика,D-FON-01,Произношение согласного /г/ в интервокальной позиции,[h] придыхательный,,,демонстрационная запись; заменить полевым материалом,демо-данные для интерфейса; заменить на полевые материалы,2026
Удмуртская Республика,Можгинский район,Можга,город,56.4427,52.2138,южная лесостепь,ДАРЯ,ДАРЯ: фонетика,D-FON-02,Тип безударного вокализма после твёрдых согласных,аканье,,,форма требует проверки по аудио/анкете,демо-данные для интерфейса; заменить на полевые материалы,2026
Удмуртская Республика,Можгинский район,Можга,город,56.4427,52.2138,южная лесостепь,ДАРЯ,ДАРЯ: морфология,D-MOR-01,Окончание 3 л. мн. ч. настоящего времени,-ат/-ят,,,вариант отмечен в речи старшего информанта,демо-данные для интерфейса; заменить на полевые материалы,2026
Удмуртская Республика,Можгинский район,Можга,город,56.4427,52.2138,южная лесостепь,ДАРЯ,ДАРЯ: синтаксис,D-SYN-01,Конструкция выражения обладания,у меня имеется,у меня есть,,возможна смешанная традиция из-за миграций,демо-данные для интерфейса; заменить на полевые материалы,2026
Удмуртская Республика,Можгинский район,Можга,город,56.4427,52.2138,южная лесостепь,ЛАРНГ,ЛАРНГ: лексика / природа,L-NAT-01,Название открытого места в лесу,поляна,,,демонстрационная запись; заменить полевым материалом,демо-данные для интерфейса; заменить на полевые материалы,2026
Удмуртская Республика,Можгинский район,Можга,город,56.4427,52.2138,южная лесостепь,ЛАРНГ,ЛАРНГ: лексика / природа,L-NAT-02,Название сильного дождя,проливень,,,форма требует проверки по аудио/анкете,демо-данные для интерфейса; заменить на полевые материалы,2026
Удмуртская Республика,Можгинский район,Можга,город,56.4427,52.2138,южная лесостепь,ЛАРНГ,ЛАРНГ: лексика / материальная культура,L-MAT-01,Название традиционного сельского дома,хата,,,вариант отмечен в речи старшего информанта,демо-данные для интерфейса; заменить на полевые материалы,2026
Удмуртская Республика,Можгинский район,Можга,город,56.4427,52.2138,южная лесостепь,ЛАРНГ,ЛАРНГ: лексика / животный мир,L-ZOO-01,Название мелкой рыбы,сорожка,,,возможна смешанная традиция из-за миграций,демо-данные для интерфейса; заменить на полевые материалы,2026
Удмуртская Республика,Балезинский район,Балезино,посёлок,57.9796,53.0138,Вятско-Камское междуречье,ДАРЯ,ДАРЯ: фонетика,D-FON-01,Произношение согласного /г/ в интервокальной позиции,[ɣ] фрикативный,,,форма требует проверки по аудио/анкете,демо-данные для интерфейса; заменить на полевые материалы,2026
Удмуртская Республика,Балезинский район,Балезино,посёлок,57.9796,53.0138,Вятско-Камское междуречье,ДАРЯ,ДАРЯ: фонетика,D-FON-02,Тип безударного вокализма после твёрдых согласных,смешанный тип,,,вариант отмечен в речи старшего информанта,демо-данные для интерфейса; заменить на полевые материалы,2026
Удмуртская Республика,Балезинский район,Балезино,посёлок,57.9796,53.0138,Вятско-Камское междуречье,ДАРЯ,ДАРЯ: морфология,D-MOR-01,Окончание 3 л. мн. ч. настоящего времени,-ут/-ют,-ат/-ят,,возможна смешанная традиция из-за миграций,демо-данные для интерфейса; заменить на полевые материалы,2026
Удмуртская Республика,Балезинский район,Балезино,посёлок,57.9796,53.0138,Вятско-Камское междуречье,ДАРЯ,ДАРЯ: синтаксис,D-SYN-01,Конструкция выражения обладания,у мене есть,,,демонстрационная запись; заменить полевым материалом,демо-данные для интерфейса; заменить на полевые материалы,2026
Удмуртская Республика,Балезинский район,Балезино,посёлок,57.9796,53.0138,Вятско-Камское междуречье,ЛАРНГ,ЛАРНГ: лексика / природа,L-NAT-01,Название открытого места в лесу,ляда,,,форма требует проверки по аудио/анкете,демо-данные для интерфейса; заменить на полевые материалы,2026
Удмуртская Республика,Балезинский район,Балезино,посёлок,57.9796,53.0138,Вятско-Камское междуречье,ЛАРНГ,ЛАРНГ: лексика / природа,L-NAT-02,Название сильного дождя,косохлёст,,,вариант отмечен в речи старшего информанта,демо-данные для интерфейса; заменить на полевые материалы,2026
Удмуртская Республика,Балезинский район,Балезино,посёлок,57.9796,53.0138,Вятско-Камское междуречье,ЛАРНГ,ЛАРНГ: лексика / материальная культура,L-MAT-01,Название традиционного сельского дома,изба,,,возможна смешанная традиция из-за миграций,демо-данные для интерфейса; заменить на полевые материалы,2026
Удмуртская Республика,Балезинский район,Балезино,посёлок,57.9796,53.0138,Вятско-Камское междуречье,ЛАРНГ,ЛАРНГ: лексика / животный мир,L-ZOO-01,Название мелкой рыбы,мелочь,,,демонстрационная запись; заменить полевым материалом,демо-данные для интерфейса; заменить на полевые материалы,2026
Удмуртская Республика,Кезский район,Кез,посёлок,57.8951,53.7133,северная лесная зона,ДАРЯ,ДАРЯ: фонетика,D-FON-01,Произношение согласного /г/ в интервокальной позиции,[g] взрывной,,,вариант отмечен в речи старшего информанта,демо-данные для интерфейса; заменить на полевые материалы,2026
Удмуртская Республика,Кезский район,Кез,посёлок,57.8951,53.7133,северная лесная зона,ДАРЯ,ДАРЯ: фонетика,D-FON-02,Тип безударного вокализма после твёрдых согласных,аканье,диссимилятивное аканье,,возможна смешанная традиция из-за миграций,демо-данные для интерфейса; заменить на полевые материалы,2026
Удмуртская Республика,Кезский район,Кез,посёлок,57.8951,53.7133,северная лесная зона,ДАРЯ,ДАРЯ: морфология,D-MOR-01,Окончание 3 л. мн. ч. настоящего времени,вариативное окончание,,,демонстрационная запись; заменить полевым материалом,демо-данные для интерфейса; заменить на полевые материалы,2026
Удмуртская Республика,Кезский район,Кез,посёлок,57.8951,53.7133,северная лесная зона,ДАРЯ,ДАРЯ: синтаксис,D-SYN-01,Конструкция выражения обладания,у меня есть,,,форма требует проверки по аудио/анкете,демо-данные для интерфейса; заменить на полевые материалы,2026
Удмуртская Республика,Кезский район,Кез,посёлок,57.8951,53.7133,северная лесная зона,ЛАРНГ,ЛАРНГ: лексика / природа,L-NAT-01,Название открытого места в лесу,поляна,,,вариант отмечен в речи старшего информанта,демо-данные для интерфейса; заменить на полевые материалы,2026
Удмуртская Республика,Кезский район,Кез,посёлок,57.8951,53.7133,северная лесная зона,ЛАРНГ,ЛАРНГ: лексика / природа,L-NAT-02,Название сильного дождя,проливень,,,возможна смешанная традиция из-за миграций,демо-данные для интерфейса; заменить на полевые материалы,2026
Удмуртская Республика,Кезский район,Кез,посёлок,57.8951,53.7133,северная лесная зона,ЛАРНГ,ЛАРНГ: лексика / материальная культура,L-MAT-01,Название традиционного сельского дома,хата,,,демонстрационная запись; заменить полевым материалом,демо-данные для интерфейса; заменить на полевые материалы,2026
Удмуртская Республика,Кезский район,Кез,посёлок,57.8951,53.7133,северная лесная зона,ЛАРНГ,ЛАРНГ: лексика / животный мир,L-ZOO-01,Название мелкой рыбы,сорожка,,,форма требует проверки по аудио/анкете,демо-данные для интерфейса; заменить на полевые материалы,2026
Удмуртская Республика,Ярский район,Яр,посёлок,58.2424,52.1064,верховья Чепцы,ДАРЯ,ДАРЯ: фонетика,D-FON-01,Произношение согласного /г/ в интервокальной позиции,[h] придыхательный,[g] взрывной,,возможна смешанная традиция из-за миграций,демо-данные для интерфейса; заменить на полевые материалы,2026
Удмуртская Республика,Ярский район,Яр,посёлок,58.2424,52.1064,верховья Чепцы,ДАРЯ,ДАРЯ: фонетика,D-FON-02,Тип безударного вокализма после твёрдых согласных,смешанный тип,,,демонстрационная запись; заменить полевым материалом,демо-данные для интерфейса; заменить на полевые материалы,2026
Удмуртская Республика,Ярский район,Яр,посёлок,58.2424,52.1064,верховья Чепцы,ДАРЯ,ДАРЯ: морфология,D-MOR-01,Окончание 3 л. мн. ч. настоящего времени,-ат/-ят,,,форма требует проверки по аудио/анкете,демо-данные для интерфейса; заменить на полевые материалы,2026
Удмуртская Республика,Ярский район,Яр,посёлок,58.2424,52.1064,верховья Чепцы,ДАРЯ,ДАРЯ: синтаксис,D-SYN-01,Конструкция выражения обладания,у меня имеется,,,вариант отмечен в речи старшего информанта,демо-данные для интерфейса; заменить на полевые материалы,2026
Удмуртская Республика,Ярский район,Яр,посёлок,58.2424,52.1064,верховья Чепцы,ЛАРНГ,ЛАРНГ: лексика / природа,L-NAT-01,Название открытого места в лесу,ляда,,,возможна смешанная традиция из-за миграций,демо-данные для интерфейса; заменить на полевые материалы,2026
Удмуртская Республика,Ярский район,Яр,посёлок,58.2424,52.1064,верховья Чепцы,ЛАРНГ,ЛАРНГ: лексика / природа,L-NAT-02,Название сильного дождя,косохлёст,,,демонстрационная запись; заменить полевым материалом,демо-данные для интерфейса; заменить на полевые материалы,2026
Удмуртская Республика,Ярский район,Яр,посёлок,58.2424,52.1064,верховья Чепцы,ЛАРНГ,ЛАРНГ: лексика / материальная культура,L-MAT-01,Название традиционного сельского дома,изба,,,форма требует проверки по аудио/анкете,демо-данные для интерфейса; заменить на полевые материалы,2026
Удмуртская Республика,Ярский район,Яр,посёлок,58.2424,52.1064,верховья Чепцы,ЛАРНГ,ЛАРНГ: лексика / животный мир,L-ZOO-01,Название мелкой рыбы,мелочь,плотвичка,,вариант отмечен в речи старшего информанта,демо-данные для интерфейса; заменить на полевые материалы,2026
Удмуртская Республика,Кизнерский район,Кизнер,посёлок,56.2749,51.5087,юго-западная лесная зона,ДАРЯ,ДАРЯ: фонетика,D-FON-01,Произношение согласного /г/ в интервокальной позиции,[ɣ] фрикативный,,,демонстрационная запись; заменить полевым материалом,демо-данные для интерфейса; заменить на полевые материалы,2026
Удмуртская Республика,Кизнерский район,Кизнер,посёлок,56.2749,51.5087,юго-западная лесная зона,ДАРЯ,ДАРЯ: фонетика,D-FON-02,Тип безударного вокализма после твёрдых согласных,аканье,,,форма требует проверки по аудио/анкете,демо-данные для интерфейса; заменить на полевые материалы,2026
Удмуртская Республика,Кизнерский район,Кизнер,посёлок,56.2749,51.5087,юго-западная лесная зона,ДАРЯ,ДАРЯ: морфология,D-MOR-01,Окончание 3 л. мн. ч. настоящего времени,-ут/-ют,,,вариант отмечен в речи старшего информанта,демо-данные для интерфейса; заменить на полевые материалы,2026
Удмуртская Республика,Кизнерский район,Кизнер,посёлок,56.2749,51.5087,юго-западная лесная зона,ДАРЯ,ДАРЯ: синтаксис,D-SYN-01,Конструкция выражения обладания,у мене есть,,,возможна смешанная традиция из-за миграций,демо-данные для интерфейса; заменить на полевые материалы,2026
Удмуртская Республика,Кизнерский район,Кизнер,посёлок,56.2749,51.5087,юго-западная лесная зона,ЛАРНГ,ЛАРНГ: лексика / природа,L-NAT-01,Название открытого места в лесу,поляна,,,демонстрационная запись; заменить полевым материалом,демо-данные для интерфейса; заменить на полевые материалы,2026
Удмуртская Республика,Кизнерский район,Кизнер,посёлок,56.2749,51.5087,юго-западная лесная зона,ЛАРНГ,ЛАРНГ: лексика / природа,L-NAT-02,Название сильного дождя,проливень,,,форма требует проверки по аудио/анкете,демо-данные для интерфейса; заменить на полевые материалы,2026
Удмуртская Республика,Кизнерский район,Кизнер,посёлок,56.2749,51.5087,юго-западная лесная зона,ЛАРНГ,ЛАРНГ: лексика / материальная культура,L-MAT-01,Название традиционного сельского дома,хата,пятистенок,,вариант отмечен в речи старшего информанта,демо-данные для интерфейса; заменить на полевые материалы,2026
Удмуртская Республика,Кизнерский район,Кизнер,посёлок,56.2749,51.5087,юго-западная лесная зона,ЛАРНГ,ЛАРНГ: лексика / животный мир,L-ZOO-01,Название мелкой рыбы,сорожка,,,возможна смешанная традиция из-за миграций,демо-данные для интерфейса; заменить на полевые материалы,2026
Удмуртская Республика,Увинский район,Ува,посёлок,56.9908,52.1852,лесная зона,ДАРЯ,ДАРЯ: фонетика,D-FON-01,Произношение согласного /г/ в интервокальной позиции,[g] взрывной,,,форма требует проверки по аудио/анкете,демо-данные для интерфейса; заменить на полевые материалы,2026
Удмуртская Республика,Увинский район,Ува,посёлок,56.9908,52.1852,лесная зона,ДАРЯ,ДАРЯ: фонетика,D-FON-02,Тип безударного вокализма после твёрдых согласных,смешанный тип,,,вариант отмечен в речи старшего информанта,демо-данные для интерфейса; заменить на полевые материалы,2026
Удмуртская Республика,Увинский район,Ува,посёлок,56.9908,52.1852,лесная зона,ДАРЯ,ДАРЯ: морфология,D-MOR-01,Окончание 3 л. мн. ч. настоящего времени,вариативное окончание,,,возможна смешанная традиция из-за миграций,демо-данные для интерфейса; заменить на полевые материалы,2026
Удмуртская Республика,Увинский район,Ува,посёлок,56.9908,52.1852,лесная зона,ДАРЯ,ДАРЯ: синтаксис,D-SYN-01,Конструкция выражения обладания,у меня есть,,,демонстрационная запись; заменить полевым материалом,демо-данные для интерфейса; заменить на полевые материалы,2026
Удмуртская Республика,Увинский район,Ува,посёлок,56.9908,52.1852,лесная зона,ЛАРНГ,ЛАРНГ: лексика / природа,L-NAT-01,Название открытого места в лесу,ляда,,,форма требует проверки по аудио/анкете,демо-данные для интерфейса; заменить на полевые материалы,2026
Удмуртская Республика,Увинский район,Ува,посёлок,56.9908,52.1852,лесная зона,ЛАРНГ,ЛАРНГ: лексика / природа,L-NAT-02,Название сильного дождя,косохлёст,ливень,,вариант отмечен в речи старшего информанта,демо-данные для интерфейса; заменить на полевые материалы,2026
Удмуртская Республика,Увинский район,Ува,посёлок,56.9908,52.1852,лесная зона,ЛАРНГ,ЛАРНГ: лексика / материальная культура,L-MAT-01,Название традиционного сельского дома,изба,,,возможна смешанная традиция из-за миграций,демо-данные для интерфейса; заменить на полевые материалы,2026
Удмуртская Республика,Увинский район,Ува,посёлок,56.9908,52.1852,лесная зона,ЛАРНГ,ЛАРНГ: лексика / животный мир,L-ZOO-01,Название мелкой рыбы,мелочь,,,демонстрационная запись; заменить полевым материалом,демо-данные для интерфейса; заменить на полевые материалы,2026
